file,rows,columns,size_bytes
assigned_primary_feasibility_summary.csv,5,4,256
assigned_primary_hub_readiness_summary.csv,3,3,105
assigned_spoke_hub_distance_band_summary.csv,16,5,1172
assigned_spoke_hub_feasibility_summary.csv,24,6,2204
assigned_spoke_hub_readiness_summary.csv,14,5,1035
assigned_spoke_hub_routes_by_scenario.csv,840,40,314982
assigned_spoke_hub_routes_primary.csv,168,40,64028
assigned_spoke_hub_routes_summary_by_scenario.csv,5,19,882
essential_care_hub_layer.csv,280,54,132601
essential_care_hub_layer_summary.csv,17,2,563
facilities_to_strengthen_dominant_gap_summary.csv,5,3,189
facilities_to_strengthen_map_outputs_summary(1).csv,4,3,433
facilities_to_strengthen_scd_services.csv,158,41,1278232
facilities_to_strengthen_scd_services_summary.csv,11,2,451
facilities_to_strengthen_service_gap_summary.csv,4,3,176
facilities_to_strengthen_tier_summary.csv,5,3,245
high_route_risk_hubs_primary.csv,29,35,15447
hub_readiness_workload_summary.csv,3,8,251
hub_route_risk_summary.csv,4,4,244
hub_workload_category_summary.csv,3,3,106
hub_workload_route_risk_primary.csv,62,35,32018
hub_workload_route_risk_summary.csv,19,2,580
map_outputs_summary(1).csv,5,3,500
spoke_hub_distance_band_summary_all_candidate_hubs.csv,4,4,219
spoke_hub_distance_band_summary_by_scenario.csv,20,5,1463
spoke_hub_distance_matrix_all_candidate_hubs.csv,47040,36,12806591
spoke_hub_distance_matrix_all_candidate_hubs_summary.csv,1,16,335
spoke_hub_distance_matrix_by_scenario.csv,69048,38,22864712
spoke_hub_distance_matrix_by_scenario_summary.csv,5,17,835
spoke_nearest_candidate_hub_summary.csv,168,12,23070
top_facilities_to_strengthen_scd_services.csv,30,41,242442
top_hub_workload_primary.csv,20,35,10780
weak_route_spoke_candidate_facility_pairs.csv,207,23,41162
